Ticker,Halt_dt,Resume_dt,Halt Duration,Direction,Halt Price
DOMH,2025-03-31 09:33:52,2025-03-31 09:38:52,5,DOWN,4.650000095367432
QSG,2025-03-31 09:33:34,2025-03-31 09:38:34,5,DOWN,3.9100000858306885
CTOR,2025-03-31 09:36:54,2025-03-31 09:41:54,5,DOWN,0.9399999976158142
SKBL,2025-03-31 09:44:55,2025-03-31 09:49:55,5,DOWN,8.069999694824219
PRTG,2025-03-31 09:47:24,2025-03-31 09:57:24,10,UP,9.300000190734863
SKBL,2025-03-31 09:51:14,2025-03-31 10:04:59,13,UP,8.90999984741211
PRTG,2025-03-31 10:00:38,2025-03-31 10:05:38,5,DOWN,8.539999961853027
TMC,2025-03-31 13:27:43,2025-03-31 13:32:43,5,UP,1.9700000286102295
ICCT,2025-03-31 14:36:33,2025-03-31 14:41:33,5,UP,1.1799999475479126
ICCT,2025-03-31 14:43:44,2025-03-31 14:48:44,5,UP,1.4700000286102295
ICCT,2025-03-31 14:49:10,2025-03-31 14:54:10,5,UP,1.6200000047683716
ICCT,2025-03-31 14:54:37,2025-03-31 14:59:37,5,DOWN,1.4900000095367432
ICCT,2025-03-31 15:11:38,2025-03-31 15:21:38,10,UP,1.6299999952316284
ICCT,2025-03-31 15:22:15,2025-03-31 15:27:15,5,UP,1.9900000095367432
ICCT,2025-03-31 15:27:37,2025-03-31 15:32:37,5,DOWN,1.7799999713897705
